Date,Consumption
2006-01-01,1069.184
2006-01-02,1380.521
2006-01-03,1442.533
2006-01-04,1457.217
2006-01-05,1477.131
2006-01-06,1403.4270000000001
2006-01-07,1300.287
2006-01-08,1207.985
2006-01-09,1529.3229999999999
2006-01-10,1576.911
2006-01-11,1577.1760000000002
2006-01-12,1553.28
2006-01-13,1545.0020000000002
2006-01-14,1359.945
2006-01-15,1265.475
2006-01-16,1563.7379999999998
2006-01-17,1598.3029999999999
2006-01-18,1572.984
2006-01-19,1558.29
2006-01-20,1540.604
2006-01-21,1348.1879999999999
2006-01-22,1248.111
2006-01-23,1569.691
2006-01-24,1603.2520000000002
2006-01-25,1613.3120000000001
2006-01-26,1601.6729999999998
2006-01-27,1586.065
2006-01-28,1373.03
2006-01-29,1252.215
2006-01-30,1554.7220000000002
2006-01-31,1575.129
2006-02-01,1582.134
2006-02-02,1595.717
2006-02-03,1577.786
2006-02-04,1366.3220000000001
2006-02-05,1258.013
2006-02-06,1557.525
2006-02-07,1606.6670000000001
2006-02-08,1590.896
2006-02-09,1599.129
2006-02-10,1554.631
2006-02-11,1346.104
2006-02-12,1232.568
2006-02-13,1521.4560000000001
2006-02-14,1551.3729999999998
2006-02-15,1562.656
2006-02-16,1523.719
2006-02-17,1495.9129999999998
2006-02-18,1297.385
2006-02-19,1173.05
2006-02-20,1501.246
2006-02-21,1544.112
2006-02-22,1543.1070000000002
2006-02-23,1523.491
2006-02-24,1507.235
2006-02-25,1309.603
2006-02-26,1204.766
2006-02-27,1444.899
2006-02-28,1507.49
2006-03-01,1531.1729999999998
2006-03-02,1539.951
2006-03-03,1510.884
2006-03-04,1323.3029999999999
2006-03-05,1220.395
2006-03-06,1502.191
2006-03-07,1514.0120000000002
2006-03-08,1545.8339999999998
2006-03-09,1498.444
2006-03-10,1475.3270000000002
2006-03-11,1320.368
2006-03-12,1218.407
2006-03-13,1494.832
2006-03-14,1514.066
2006-03-15,1518.04
2006-03-16,1516.898
2006-03-17,1495.3239999999998
2006-03-18,1280.7169999999999
2006-03-19,1160.078
2006-03-20,1446.2379999999998
2006-03-21,1470.34
2006-03-22,1471.6670000000001
2006-03-23,1456.016
2006-03-24,1444.75
2006-03-25,1231.067
2006-03-26,1116.743
2006-03-27,1400.9820000000002
2006-03-28,1435.152
2006-03-29,1438.405
2006-03-30,1457.454
2006-03-31,1429.066
2006-04-01,1207.769
2006-04-02,1110.026
2006-04-03,1422.789
2006-04-04,1436.6989999999998
2006-04-05,1447.7979999999998
2006-04-06,1432.8529999999998
2006-04-07,1394.98
2006-04-08,1195.9589999999998
2006-04-09,1104.106
2006-04-10,1408.1689999999999
2006-04-11,1419.3010000000002
2006-04-12,1425.7120000000002
2006-04-13,1415.5420000000001
2006-04-14,1118.396
2006-04-15,1086.018
2006-04-16,986.875
2006-04-17,1009.0939999999999
